doc Pairs 	hash similarity 	line similarity 	Link
input/c7bd14fa1c4be4241a301f544e262b4a_1_ShiftTacToe.java - input/9db397d35f4791bdc1e91669e7476707_6_ShiftTacToe.java	79.04522613065326	162	Link
input/f7a882ba9262e489830a52a5b5b421f7_2_ShiftTacToe.java - input/2f6b47a952b77825e95a124e7b2733cd_19_ShiftTacToe.java	78.60596293311845	178	Link
input/fad06c12ac6ec9fdcf690d1b20ce4f1c_4_ShiftTacToe.java - input/f7a882ba9262e489830a52a5b5b421f7_2_ShiftTacToe.java	78.26784282277465	158	Link
input/fad06c12ac6ec9fdcf690d1b20ce4f1c_4_ShiftTacToe.java - input/62a5c4ade835649c72674e382f12c330_2_ShiftTacToe.java	78.02457466918715	154	Link
input/fad06c12ac6ec9fdcf690d1b20ce4f1c_4_ShiftTacToe.java - input/e4e9eec9f010822395614a2efcea7657_18_ShiftTacToe.java	77.86688051323176	171	Link
input/c7bd14fa1c4be4241a301f544e262b4a_1_ShiftTacToe.java - input/339ccebacc2434df9b5905d71ab9aca1_14_ShiftTacToe.java	77.38693467336684	148	Link
input/f7a882ba9262e489830a52a5b5b421f7_2_ShiftTacToe.java - input/f2ce9448bbd396a31167a703b429dcba_2_ShiftTacToe.java	76.6694146743611	174	Link
input/f7a882ba9262e489830a52a5b5b421f7_2_ShiftTacToe.java - input/62a5c4ade835649c72674e382f12c330_2_ShiftTacToe.java	76.51228733459357	163	Link
input/2f6b47a952b77825e95a124e7b2733cd_19_ShiftTacToe.java - input/9b6914294498cfa098110141fe202d20_4_ShiftTacToe.java	76.51087832393232	161	Link
input/fad06c12ac6ec9fdcf690d1b20ce4f1c_4_ShiftTacToe.java - input/efc23af23590bd787b1ea166aae26427_4_ShiftTacToe.java	76.50208209399167	108	Link
input/2f6b47a952b77825e95a124e7b2733cd_19_ShiftTacToe.java - input/62a5c4ade835649c72674e382f12c330_2_ShiftTacToe.java	76.18147448015122	157	Link
input/621c313bdb694cdcf20423d945aca818_4_ShiftTacToe.java - input/0964204626f438ed88b73ae132775100_1_ShiftTacToe.java	75.67567567567568	125	Link
input/61f0f60851037ee6f626120b690c5f03_1_ShiftTacToe.java - input/efc23af23590bd787b1ea166aae26427_4_ShiftTacToe.java	75.49077929803688	109	Link
input/a96058ad215dfc065010765cf1da256c_9_ShiftTacToe.java - input/efc23af23590bd787b1ea166aae26427_4_ShiftTacToe.java	75.43129089827484	125	Link
input/c7bd14fa1c4be4241a301f544e262b4a_1_ShiftTacToe.java - input/589cf3a984b500c2634e8e0623cec5ed_4_ShiftTacToe.java	75.42713567839196	138	Link
input/0964204626f438ed88b73ae132775100_1_ShiftTacToe.java - input/9db397d35f4791bdc1e91669e7476707_6_ShiftTacToe.java	75.41070482246953	138	Link
input/730d7f11e42aebf5d9271673ed7e3af6_4_ShiftTacToe.java - input/c7bd14fa1c4be4241a301f544e262b4a_1_ShiftTacToe.java	75.37688442211055	143	Link
input/339ccebacc2434df9b5905d71ab9aca1_14_ShiftTacToe.java - input/9db397d35f4791bdc1e91669e7476707_6_ShiftTacToe.java	75.27932960893855	165	Link
input/339ccebacc2434df9b5905d71ab9aca1_14_ShiftTacToe.java - input/efc23af23590bd787b1ea166aae26427_4_ShiftTacToe.java	75.19333729922666	124	Link
input/e4e9eec9f010822395614a2efcea7657_18_ShiftTacToe.java - input/efc23af23590bd787b1ea166aae26427_4_ShiftTacToe.java	74.89589530041641	111	Link
input/671876dc67820e32d22c7beae566db0d_1_ShiftTacToe.java - input/621c313bdb694cdcf20423d945aca818_4_ShiftTacToe.java	74.38779606583701	170	Link
